risk_per_trade,slippage_pct,final_equity,net_pnl,total_trades,win_rate,expectancy,max_drawdown
0.005,0.0002,21943.240909699074,11943.240909699074,5659,0.36313836366849267,2.1104861123341827,-0.4342526608311739
0.005,0.0005,18284.691066159787,8284.691066159787,5659,0.36296165400247393,1.4639849913694682,-0.6034677087863164
0.005,0.001,12097.112766876726,2097.112766876726,5659,0.36296165400247393,0.3705800966384132,-0.9490308642220305
0.01,0.0002,21943.240909699074,11943.240909699074,5659,0.36313836366849267,2.1104861123341827,-0.4342526608311739
0.01,0.0005,18284.691066159787,8284.691066159787,5659,0.36296165400247393,1.4639849913694682,-0.6034677087863164
0.01,0.001,12097.112766876726,2097.112766876726,5659,0.36296165400247393,0.3705800966384132,-0.9490308642220305
0.02,0.0002,21943.240909699074,11943.240909699074,5659,0.36313836366849267,2.1104861123341827,-0.4342526608311739
0.02,0.0005,18284.691066159787,8284.691066159787,5659,0.36296165400247393,1.4639849913694682,-0.6034677087863164
0.02,0.001,12097.112766876726,2097.112766876726,5659,0.36296165400247393,0.3705800966384132,-0.9490308642220305
0.05,0.0002,21943.240909699074,11943.240909699074,5659,0.36313836366849267,2.1104861123341827,-0.4342526608311739
0.05,0.0005,18284.691066159787,8284.691066159787,5659,0.36296165400247393,1.4639849913694682,-0.6034677087863164
0.05,0.001,12097.112766876726,2097.112766876726,5659,0.36296165400247393,0.3705800966384132,-0.9490308642220305
