risk_per_trade,max_notional_per_trade,slippage_pct,dynamic_notional,max_qty,min_stop_distance_pct,max_notional_absolute,final_equity,net_pnl,total_trades,win_rate,expectancy,max_drawdown
0.005,0.01,0.0001,False,100,0.005,50000.0,168950.04513168934,158950.04513168934,11321,0.7686600123663987,14.040283113831759,-0.06859688680588687
0.005,0.01,0.0001,True,100,0.005,50000.0,168950.04513168934,158950.04513168934,11321,0.7686600123663987,14.040283113831759,-0.06859688680588687
0.005,0.01,0.0005,False,100,0.005,50000.0,162576.63636872548,152576.63636872586,11321,0.7426905750375409,13.477310870835248,-0.09804521556047356
0.005,0.01,0.0005,True,100,0.005,50000.0,162576.63636872548,152576.63636872586,11321,0.7426905750375409,13.477310870835248,-0.09804521556047356
0.005,0.02,0.0001,False,100,0.005,50000.0,302848.0371905543,292848.0371905552,11321,0.9039837470188146,25.867682818704633,-0.0021114963211703737
0.005,0.02,0.0001,True,100,0.005,50000.0,234891.3024505027,224891.30245050346,11321,0.9039837470188146,19.864967975488337,-0.0021114963211703737
0.005,0.02,0.0005,False,100,0.005,50000.0,246307.9674000291,236307.96740002919,11321,0.9038070841798428,20.87341819627499,-0.0021835674578911867
0.005,0.02,0.0005,True,100,0.005,50000.0,216936.308577491,206936.3085774911,11321,0.9038070841798428,18.27897787982431,-0.0021835674578911867
0.01,0.01,0.0001,False,100,0.005,50000.0,168950.04513168934,158950.04513168934,11321,0.7686600123663987,14.040283113831759,-0.06859688680588687
0.01,0.01,0.0001,True,100,0.005,50000.0,168950.04513168934,158950.04513168934,11321,0.7686600123663987,14.040283113831759,-0.06859688680588687
0.01,0.01,0.0005,False,100,0.005,50000.0,162576.63636872548,152576.63636872586,11321,0.7426905750375409,13.477310870835248,-0.09804521556047356
0.01,0.01,0.0005,True,100,0.005,50000.0,162576.63636872548,152576.63636872586,11321,0.7426905750375409,13.477310870835248,-0.09804521556047356
0.01,0.02,0.0001,False,100,0.005,50000.0,302848.0371905543,292848.0371905552,11321,0.9039837470188146,25.867682818704633,-0.0021114963211703737
0.01,0.02,0.0001,True,100,0.005,50000.0,234891.3024505027,224891.30245050346,11321,0.9039837470188146,19.864967975488337,-0.0021114963211703737
0.01,0.02,0.0005,False,100,0.005,50000.0,246307.9674000291,236307.96740002919,11321,0.9038070841798428,20.87341819627499,-0.0021835674578911867
0.01,0.02,0.0005,True,100,0.005,50000.0,216936.308577491,206936.3085774911,11321,0.9038070841798428,18.27897787982431,-0.0021835674578911867
0.015,0.01,0.0001,False,100,0.005,50000.0,168950.04513168934,158950.04513168934,11321,0.7686600123663987,14.040283113831759,-0.06859688680588687
0.015,0.01,0.0001,True,100,0.005,50000.0,168950.04513168934,158950.04513168934,11321,0.7686600123663987,14.040283113831759,-0.06859688680588687
0.015,0.01,0.0005,False,100,0.005,50000.0,162576.63636872548,152576.63636872586,11321,0.7426905750375409,13.477310870835248,-0.09804521556047356
0.015,0.01,0.0005,True,100,0.005,50000.0,162576.63636872548,152576.63636872586,11321,0.7426905750375409,13.477310870835248,-0.09804521556047356
0.015,0.02,0.0001,False,100,0.005,50000.0,302848.0371905543,292848.0371905552,11321,0.9039837470188146,25.867682818704633,-0.0021114963211703737
0.015,0.02,0.0001,True,100,0.005,50000.0,234891.3024505027,224891.30245050346,11321,0.9039837470188146,19.864967975488337,-0.0021114963211703737
0.015,0.02,0.0005,False,100,0.005,50000.0,246307.9674000291,236307.96740002919,11321,0.9038070841798428,20.87341819627499,-0.0021835674578911867
0.015,0.02,0.0005,True,100,0.005,50000.0,216936.308577491,206936.3085774911,11321,0.9038070841798428,18.27897787982431,-0.0021835674578911867
