fold,test_size,filtered_signals,total_trades,win_rate,net_pnl,expectancy,max_drawdown,avg_atr_volatility_pct
1,366,18,18,0.2222222222222222,10.206440602874757,0.5670244779374864,-0.004136515421135805,0.6689113355780022
2,366,63,63,0.3492063492063492,11.680266860743963,0.18540106128165057,-0.007487592530169966,0.23649190315856983
3,366,10,10,0.1,-22.877965982518873,-2.2877965982518873,-0.0022877965982521344,0.5686868686868688
4,366,1,1,0.0,-2.7634734579903615,-2.7634734579903615,-0.00027634734579896756,0.5555555555555556
5,366,25,25,0.2,-33.077716084480244,-1.3231086433792099,-0.0036148040781923555,0.6327272727272727
6,366,15,15,0.2,-18.91609680922354,-1.2610731206149026,-0.0018916096809223745,0.44848484848484843
7,366,0,0,0.0,0.0,0.0,0.0,
8,366,15,15,0.06666666666666667,-50.77226428857526,-3.3848176192383512,-0.006158941273921747,0.7373737373737372
9,366,4,4,0.0,-16.17135006310599,-4.0428375157764975,-0.001617135006310673,0.5277777777777778
10,366,3,3,0.0,-8.664375070844372,-2.8881250236147906,-0.0008664375070844471,0.622895622895623
11,366,7,7,0.0,-26.92022258922036,-3.845746084174337,-0.002692022258922043,0.7402597402597404
12,366,1,1,0.0,-2.0395624536786863,-2.0395624536786863,-0.00020395624536795367,0.10101010101010101
13,366,1,1,0.0,-2.451818580055237,-2.451818580055237,-0.000245181858005526,0.3939393939393939
14,366,8,8,0.125,-11.919141878863726,-1.4898927348579656,-0.0014394004811136363,0.5151515151515151
15,366,84,84,0.19047619047619047,-104.44858464102059,-1.2434355314407213,-0.010555139330166219,0.49735449735449727
16,366,10,10,0.2,-10.44483085087358,-1.0444830850873579,-0.0012040839949417205,0.41515151515151516
17,366,1,1,0.0,-2.3519424160548787,-2.3519424160548787,-0.00023519424160549533,0.5353535353535354
18,366,12,12,0.75,17.002122799682734,1.4168435666402277,-0.00023519424160549533,0.2693602693602694
19,366,12,12,0.16666666666666666,-13.990274172837482,-1.1658561810697905,-0.0018003299548197177,0.10606060606060606
20,366,7,7,0.5714285714285714,9.380062879371653,1.3400089827673793,-0.0007051704719666758,0.5656565656565656
