fold,signals_total,signals_filtered,total_trades,win_rate,net_pnl,expectancy,max_drawdown
1,366,149,149,0.5100671140939598,112.81877312744695,0.7571729740097117,-0.012793171936010886
2,366,29,29,0.41379310344827586,-14.732244092614318,-0.5080084169867007,-0.004756604347707077
3,366,14,14,0.35714285714285715,-7.192558798244976,-0.5137541998746413,-0.0025333190236116934
4,366,0,0,0.0,0.0,0.0,0.0
5,366,0,0,0.0,0.0,0.0,0.0
6,366,41,41,0.34146341463414637,-41.958208084324454,-1.0233709288859618,-0.004606981240267305
7,366,14,14,0.2857142857142857,-16.998156636864834,-1.2141540454903454,-0.0017185583873834886
8,366,41,40,0.2,-112.2703601381574,-2.8067590034539363,-0.012671630719494897
9,366,6,6,0.5,-0.5312491586412547,-0.08854152644020852,-0.001310386138093054
10,366,116,115,0.46956521739130436,-67.8060696567266,-0.5896179970150143,-0.007858203653306532
11,366,0,0,0.0,0.0,0.0,0.0
12,366,0,0,0.0,0.0,0.0,0.0
13,366,13,13,0.46153846153846156,-9.525145607893847,-0.7327035082995265,-0.001043297387174971
14,366,0,0,0.0,0.0,0.0,0.0
15,366,6,6,0.16666666666666666,-9.580056345394691,-1.5966760575657821,-0.001101935831386254
16,366,32,32,0.5,-23.344775819124656,-0.7295242443476454,-0.002594660742462838
17,366,25,25,0.32,-29.610570860263245,-1.1844228344105299,-0.003011469448860589
18,366,0,0,0.0,0.0,0.0,0.0
19,366,2,2,1.0,0.1309852198192183,0.06549260990960915,0.0
20,366,9,9,0.7777777777777778,12.615943988473102,1.4017715542747893,-0.0003628054169419159
