fold,test_size,ml_filtered_signals,session_filtered_signals,total_trades,win_rate,net_pnl,expectancy,max_drawdown
1,366,18,0,0,0.0,0.0,0.0,0.0
2,366,63,0,0,0.0,0.0,0.0,0.0
3,366,10,0,0,0.0,0.0,0.0,0.0
4,366,1,0,0,0.0,0.0,0.0,0.0
5,366,25,0,0,0.0,0.0,0.0,0.0
6,366,15,0,0,0.0,0.0,0.0,0.0
7,366,0,0,0,0.0,0.0,0.0,0.0
8,366,15,0,0,0.0,0.0,0.0,0.0
9,366,4,0,0,0.0,0.0,0.0,0.0
10,366,3,0,0,0.0,0.0,0.0,0.0
11,366,7,0,0,0.0,0.0,0.0,0.0
12,366,1,0,0,0.0,0.0,0.0,0.0
13,366,1,0,0,0.0,0.0,0.0,0.0
14,366,8,0,0,0.0,0.0,0.0,0.0
15,366,84,0,0,0.0,0.0,0.0,0.0
16,366,10,0,0,0.0,0.0,0.0,0.0
17,366,1,0,0,0.0,0.0,0.0,0.0
18,366,12,0,0,0.0,0.0,0.0,0.0
19,366,12,0,0,0.0,0.0,0.0,0.0
20,366,7,0,0,0.0,0.0,0.0,0.0
