strategy,tp_mult,sl_mult,conf_mode,conf_threshold,avg_conf_threshold,conf_percentile,risk_per_trade,n_folds,avg_signals_filtered,avg_total_trades,avg_win_rate,avg_expectancy,avg_max_drawdown,total_pnl,positive_folds,negative_folds,window,percentile
Reversed Hybrid (Optimized),3.0,1.0,percentile,0.12553657591342926,0.12553657591342926,0.9,0.005,1,151.0,150.0,0.35333333333333333,9.281205339960017,-0.09373949321718214,1392.1808009940023,1,0,2010-2015,90
Reversed Hybrid (Optimized),3.0,1.0,percentile,0.1337617039680481,0.1337617039680481,0.95,0.005,1,74.0,74.0,0.25675675675675674,1.082954137995074,-0.03719623389613535,80.13860621163559,1,0,2010-2015,95
Reversed Hybrid (Optimized),3.0,1.0,percentile,0.1549062877893448,0.1549062877893448,0.98,0.005,1,23.0,23.0,0.34782608695652173,8.898306890982884,-0.013003292232120423,204.66105849260632,1,0,2010-2015,98
Reversed Hybrid (Optimized),3.0,1.0,percentile,0.1082555279135704,0.1082555279135704,0.9,0.005,1,38.0,38.0,0.10526315789473684,-13.026303840258574,-0.0523499371208849,-494.99954592982596,0,1,2016-2018,90
Reversed Hybrid (Optimized),3.0,1.0,percentile,0.10850784927606583,0.10850784927606583,0.95,0.005,1,38.0,38.0,0.10526315789473684,-13.026303840258574,-0.0523499371208849,-494.99954592982596,0,1,2016-2018,95
Reversed Hybrid (Optimized),3.0,1.0,percentile,0.11617341637611389,0.11617341637611389,0.98,0.005,1,16.0,16.0,0.125,-11.218199567958264,-0.029124689608342604,-179.4911930873322,0,1,2016-2018,98
Reversed Hybrid (Optimized),3.0,1.0,percentile,0.10341255366802216,0.10341255366802216,0.9,0.005,1,40.0,40.0,0.35,7.440749237060519,-0.02838118908588341,297.629969482421,1,0,2019-2021,90
Reversed Hybrid (Optimized),3.0,1.0,percentile,0.10465458780527115,0.10465458780527115,0.95,0.005,1,37.0,37.0,0.3783783783783784,11.343822437371774,-0.019874755668933743,419.72143018275574,1,0,2019-2021,95
Reversed Hybrid (Optimized),3.0,1.0,percentile,0.11473286151885986,0.11473286151885986,0.98,0.005,1,13.0,13.0,0.6923076923076923,45.38792433572283,-0.0057709409749244,590.0430163643967,1,0,2019-2021,98
Reversed Hybrid (Optimized),3.0,1.0,percentile,0.09019322693347931,0.09019322693347931,0.9,0.005,1,89.0,89.0,0.24719101123595505,-15.223354563117631,-0.22500399418875594,-1354.8785561174695,0,1,2022-2025,90
Reversed Hybrid (Optimized),3.0,1.0,percentile,0.09278623014688492,0.09278623014688492,0.95,0.005,1,25.0,25.0,0.44,26.8244406029576,-0.04347723899148407,670.61101507394,1,0,2022-2025,95
Reversed Hybrid (Optimized),3.0,1.0,percentile,0.09620963037014008,0.09620963037014008,0.98,0.005,1,12.0,12.0,0.6666666666666666,61.79580889718194,-0.010066731837332555,741.5497067661834,1,0,2022-2025,98
